land;kwh/year
Aruba (Neth.);1813,32
Afghanistan;1832,06
Angola;1701,55
Albania;1476,56
Andorra;1533,68
United Arab Emirates;1827,82
Argentina;1679,86
Armenia;1499,83
American Samoa (U.S.);1454,64
Antigua and Barbuda;1742,10
Australia;1719,27
Austria;1189,66
Azerbaijan;1394,41
Burundi;1523,93
Belgium;1065,22
Benin;1533,25
Burkina Faso;1669,23
Bangladesh;1417,39
Bulgaria;1352,45
Bahrain;1778,26
The Bahamas;1661,19
Bosnia and Herzegovina;1303,83
Belarus;1076,94
Belize;1525,58
Bermuda (U.K.);1528,13
Bolivia;1805,10
Brazil;1608,63
Barbados;1722,19
Brunei Darussalam;1424,80
Bhutan;1430,25
Botswana;1865,30
Central African Republic;1631,43
Canada;1393,61
Switzerland;1228,66
Chile;1959,46
China;1418,08
Côte d'Ivoire;1460,96
Cameroon;1562,21
Democratic Republic of Congo;1554,36
Congo;1375,86
Colombia;1478,97
Comoros;1565,32
Cabo Verde;1710,21
Costa Rica;1494,97
Cuba;1658,56
Curaçao (Neth.);1765,33
Cayman Islands (U.K.);1690,12
Cyprus;1716,05
Czech Republic;1113,32
Germany;1081,43
Djibouti;1752,18
Dominica;1450,12
Denmark;1038,55
Dominican Republic;1669,12
Algeria;1795,82
Ecuador;1242,40
Arab Republic of Egypt;1916,36
Eritrea;1787,83
Spain;1611,74
Estonia;1036,18
Ethiopia;1714,99
Fiji;1393,47
France;1236,77
Federated States of Micronesia;1420,09
Gabon;1315,78
United Kingdom;954,29
Georgia;1354,49
Ghana;1468,41
Guinea;1620,76
The Gambia;1668,83
Guinea-Bissau;1628,14
Equatorial Guinea;1339,41
Greece;1513,23
Grenada;1626,06
Guatemala;1601,80
Guam (U.S.);1655,31
Guyana;1532,55
Hong Kong, SAR;1195,02
Honduras;1557,02
Croatia;1326,08
Haiti;1708,13
Hungary;1256,53
Indonesia;1376,04
Isle of Man (U.K.);1009,44
India;1578,61
Ireland;917,73
Islamic Republic of Iran;1795,53
Iraq;1708,75
Israel;1854,12
Italy;1458,55
Jamaica;1601,91
Jordan;1941,30
Japan;1258,51
Kazakhstan;1345,95
Kenya;1645,16
Kyrgyz Republic;1502,97
Cambodia;1506,66
Kiribati;1761,64
Saint Kitts and Nevis;1696,81
Republic of Korea;1393,90
Kuwait;1758,86
Lao People's Democratic Republic;1413,85
Lebanon;1764,71
Liberia;1418,38
Libya;1871,65
Saint Lucia;1651,84
Liechtenstein;1185,38
Sri Lanka;1538,36
Lesotho;1875,52
Lithuania;1048,41
Luxembourg;1076,68
Latvia;1042,09
Macau, SAR;1243,35
Morocco;1828,62
Moldova;1259,86
Madagascar;1737,82
Maldives;1622,37
Mexico;1798,53
Marshall Islands;1548,00
North Macedonia;1417,68
Mali;1708,02
Malta;1666,20
Myanmar;1512,65
Montenegro;1394,31
Mongolia;1737,60
Northern Mariana Islands (U.S.);1700,09
Mozambique;1619,88
Mauritania;1734,61
Mauritius;1539,46
Malawi;1680,37
Malaysia;1366,00
Namibia;1964,72
New Caledonia (Fr.);1452,38
Niger;1766,71
Nigeria;1569,73
Nicaragua;1500,63
Netherlands;1046,33
Norway;1008,53
Nepal;1459,54
Nauru;1698,78
New Zealand;1343,17
Oman;1887,72
Pakistan;1721,28
Panama;1448,40
Peru;1790,09
Philippines;1436,31
Palau;1462,83
Papua New Guinea;1348,47
Poland;1090,05
Puerto Rico (U.S.);1605,79
D. P. R. of Korea;1430,25
Portugal;1576,24
Paraguay;1563,78
West Bank and Gaza;1802,44
French Polynesia (Fr.);1604,95
Qatar;1796,08
Romania;1286,99
Russian Federation;1225,49
Rwanda;1498,29
Saudi Arabia;1884,25
Sudan;1805,50
Senegal;1674,12
Singapore;1297,11
Solomon Islands;1347,55
Sierra Leone;1492,48
El Salvador;1763,13
San Marino;1373,16
Somalia;1739,21
Serbia;1285,79
South Sudan;1627,88
São Tomé and Príncipe;1266,72
Suriname;1559,25
Slovakia;1192,72
Slovenia;1254,45
Sweden;1036,32
Eswatini;1577,37
Sint Maarten (Neth.);1778,15
Seychelles;1587,96
Syrian Arab Republic;1773,00
Turks and Caicos Islands (U.K.);1724,75
Chad;1766,86
Togo;1506,40
Thailand;1484,60
Tajikistan;1585,40
Turkmenistan;1595,34
Timor-Leste;1584,86
Tonga;1463,85
Trinidad and Tobago;1588,47
Tunisia;1732,93
Turkey;1579,05
Tuvalu;1558,45
Tanzania;1646,07
Uganda;1629,60
Ukraine;1203,94
Uruguay;1572,15
United States of America;1591,91
Uzbekistan;1559,18
Saint Vincent and the Grenadines;1560,64
R. B. de Venezuela;1590,48
British Virgin Islands (U.K.);1773,18
United States Virgin Islands (U.S.);1735,08
Vietnam;1298,24
Vanuatu;1289,52
Samoa;1480,32
Kosovo;1349,93
Republic of Yemen;1904,30
South Africa;1827,56
Zambia;1763,46
Zimbabwe;1775,52
