Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Land area (sq. km),AG.LND.TOTL.K2,Afghanistan,AFG,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,..,..
Land area (sq. km),AG.LND.TOTL.K2,Albania,ALB,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,..,..
Land area (sq. km),AG.LND.TOTL.K2,Algeria,DZA,2381740,2381740,2381740,2381741,2381741,2381741,2381741,2381741,2381741,2381741,..,..
Land area (sq. km),AG.LND.TOTL.K2,American Samoa,ASM,200,200,200,200,200,200,200,200,200,200,..,..
Land area (sq. km),AG.LND.TOTL.K2,Andorra,AND,470,470,470,470,470,470,470,470,470,470,..,..
Land area (sq. km),AG.LND.TOTL.K2,Angola,AGO,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,..,..
Land area (sq. km),AG.LND.TOTL.K2,Antigua and Barbuda,ATG,440,440,440,440,440,440,440,440,440,440,..,..
Land area (sq. km),AG.LND.TOTL.K2,Argentina,ARG,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,..,..
Land area (sq. km),AG.LND.TOTL.K2,Armenia,ARM,..,28470,28470,28470,28470,28470,28470,28470,28470,28470,..,..
Land area (sq. km),AG.LND.TOTL.K2,Aruba,ABW,180,180,180,180,180,180,180,180,180,180,..,..
Land area (sq. km),AG.LND.TOTL.K2,Australia,AUS,7682300,7682300,7682300,7682300,7692020,7692020,7692020,7692020,7692020,7692020,..,..
Land area (sq. km),AG.LND.TOTL.K2,Austria,AUT,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,..,..
Land area (sq. km),AG.LND.TOTL.K2,Azerbaijan,AZE,..,82605,82663,82663,82670,82662,82654,82654,82646,82650,..,..
Land area (sq. km),AG.LND.TOTL.K2,"Bahamas, The",BHS,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,..,..
Land area (sq. km),AG.LND.TOTL.K2,Bahrain,BHR,690,710,771,778,779,780,778,780,785,790,..,..
Land area (sq. km),AG.LND.TOTL.K2,Bangladesh,BGD,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,..,..
Land area (sq. km),AG.LND.TOTL.K2,Barbados,BRB,430,430,430,430,430,430,430,430,430,430,..,..
Land area (sq. km),AG.LND.TOTL.K2,Belarus,BLR,..,202848,202973,202978,202988,202988,202980,202965,202980,202950,..,..
Land area (sq. km),AG.LND.TOTL.K2,Belgium,BEL,..,30280,30280,30280,30280,30280,30280,30280,30280,30280,..,..
Land area (sq. km),AG.LND.TOTL.K2,Belize,BLZ,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,..,..
Land area (sq. km),AG.LND.TOTL.K2,Benin,BEN,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,..,..
Land area (sq. km),AG.LND.TOTL.K2,Bermuda,BMU,54,54,54,54,54,54,54,54,54,54,..,..
