ISO_A3;Country or region;Note;World Bank Region;Yearly
ABW;Aruba (Neth.);;Other;4,96
AFG;Afghanistan;;SOA;5,02
AGO;Angola;;AFR;4,66
ALB;Albania;;ECA;4,04
AND;Andorra;;Other;4,20
ARE;United Arab Emirates;;MENA;5,00
ARG;Argentina;up to parallel 45°S;LCR;4,60
ARM;Armenia;;ECA;4,11
ASM;American Samoa (U.S.);;Other;3,98
ATG;Antigua and Barbuda;;LCR;4,77
AUS;Australia;;Other;4,71
AUT;Austria;;Other;3,26
AZE;Azerbaijan;;ECA;3,82
BDI;Burundi;;AFR;4,17
BEL;Belgium;;Other;2,92
BEN;Benin;;AFR;4,20
BFA;Burkina Faso;;AFR;4,57
BGD;Bangladesh;;SOA;3,88
BGR;Bulgaria;;ECA;3,70
BHR;Bahrain;;MENA;4,87
BHS;The Bahamas;;LCR;4,55
BIH;Bosnia and Herzegovina;;ECA;3,57
BLR;Belarus;;ECA;2,95
BLZ;Belize;;LCR;4,18
BMU;Bermuda (U.K.);;Other;4,18
BOL;Bolivia;;LCR;4,94
BRA;Brazil;;LCR;4,40
BRB;Barbados;;LCR;4,72
BRN;Brunei Darussalam;;Other;3,90
BTN;Bhutan;;SOA;3,92
BWA;Botswana;;AFR;5,11
CAF;Central African Republic;;AFR;4,47
CAN;Canada;up to parallel 60°N;Other;3,82
CHE;Switzerland;;Other;3,36
CHL;Chile;up to parallel 45°S;LCR;5,36
CHN;China;;EAP;3,88
CIV;Côte d'Ivoire;;AFR;4,00
CMR;Cameroon;;AFR;4,28
COD;Democratic Republic of Congo;;AFR;4,26
COG;Congo;;AFR;3,77
COL;Colombia;;LCR;4,05
COM;Comoros;;AFR;4,29
CPV;Cabo Verde;;AFR;4,68
CRI;Costa Rica;;LCR;4,09
CUB;Cuba;;Other;4,54
CUW;Curaçao (Neth.);;Other;4,83
CYM;Cayman Islands (U.K.);;Other;4,63
CYP;Cyprus;;ECA;4,70
CZE;Czech Republic;;ECA;3,05
DEU;Germany;;Other;2,96
DJI;Djibouti;;MENA;4,80
DMA;Dominica;;LCR;3,97
DNK;Denmark;;Other;2,84
DOM;Dominican Republic;;LCR;4,57
DZA;Algeria;;MENA;4,92
ECU;Ecuador;;LCR;3,40
EGY;Arab Republic of Egypt;;MENA;5,25
ERI;Eritrea;;AFR;4,89
ESP;Spain;;Other;4,41
EST;Estonia;;ECA;2,84
ETH;Ethiopia;;AFR;4,70
FJI;Fiji;;EAP;3,82
FRA;France;;Other;3,39
FSM;Federated States of Micronesia;;EAP;3,89
GAB;Gabon;;AFR;3,60
GBR;United Kingdom;;Other;2,61
GEO;Georgia;;ECA;3,71
GHA;Ghana;;AFR;4,02
GIN;Guinea;;AFR;4,44
GMB;The Gambia;;AFR;4,57
GNB;Guinea-Bissau;;AFR;4,46
GNQ;Equatorial Guinea;;AFR;3,67
GRC;Greece;;Other;4,14
GRD;Grenada;;LCR;4,45
GTM;Guatemala;;LCR;4,39
GUM;Guam (U.S.);;Other;4,53
GUY;Guyana;;LCR;4,20
HKG;Hong Kong, SAR;;EAP;3,27
HND;Honduras;;LCR;4,26
HRV;Croatia;;ECA;3,63
HTI;Haiti;;LCR;4,68
HUN;Hungary;;ECA;3,44
IDN;Indonesia;;EAP;3,77
IMN;Isle of Man (U.K.);;Other;2,76
IND;India;;SOA;4,32
IRL;Ireland;;Other;2,51
IRN;Islamic Republic of Iran;;MENA;4,92
IRQ;Iraq;;MENA;4,68
ISR;Israel;;Other;5,08
ITA;Italy;;Other;3,99
JAM;Jamaica;;LCR;4,39
JOR;Jordan;;MENA;5,32
JPN;Japan;;Other;3,45
KAZ;Kazakhstan;;ECA;3,69
KEN;Kenya;;AFR;4,50
KGZ;Kyrgyz Republic;;ECA;4,11
KHM;Cambodia;;EAP;4,13
KIR;Kiribati;;EAP;4,82
KNA;Saint Kitts and Nevis;;LCR;4,65
KOR;Republic of Korea;;EAP;3,82
KWT;Kuwait;;MENA;4,82
LAO;Lao People's Democratic Republic;;EAP;3,87
LBN;Lebanon;;MENA;4,83
LBR;Liberia;;AFR;3,88
LBY;Libya;;MENA;5,12
LCA;Saint Lucia;;LCR;4,52
LIE;Liechtenstein;;Other;3,25
LKA;Sri Lanka;;SOA;4,21
LSO;Lesotho;;AFR;5,13
LTU;Lithuania;;ECA;2,87
LUX;Luxembourg;;Other;2,95
LVA;Latvia;;ECA;2,85
MAC;Macau, SAR;;EAP;3,40
MAR;Morocco;;MENA;5,01
MDA;Moldova;;ECA;3,45
MDG;Madagascar;;AFR;4,76
MDV;Maldives;;SOA;4,44
MEX;Mexico;;LCR;4,92
MHL;Marshall Islands;;EAP;4,24
MKD;North Macedonia;;ECA;3,88
MLI;Mali;;AFR;4,68
MLT;Malta;;MENA;4,56
MMR;Myanmar;;EAP;4,14
MNE;Montenegro;;ECA;3,82
MNG;Mongolia;;EAP;4,76
MNP;Northern Mariana Islands (U.S.);;Other;4,65
MOZ;Mozambique;;AFR;4,44
MRT;Mauritania;;AFR;4,75
MUS;Mauritius;;AFR;4,21
MWI;Malawi;;AFR;4,60
MYS;Malaysia;;EAP;3,74
NAM;Namibia;;AFR;5,38
NCL;New Caledonia (Fr.);;Other;3,98
NER;Niger;;AFR;4,84
NGA;Nigeria;;AFR;4,30
NIC;Nicaragua;;LCR;4,11
NLD;Netherlands;;Other;2,86
NOR;Norway;up to parallel 60°N;Other;2,76
NPL;Nepal;;SOA;4,00
NRU;Nauru;;EAP;4,65
NZL;New Zealand;;Other;3,68
OMN;Oman;;MENA;5,17
PAK;Pakistan;;SOA;4,71
PAN;Panama;;LCR;3,97
PER;Peru;;LCR;4,90
PHL;Philippines;;EAP;3,93
PLW;Palau;;EAP;4,01
PNG;Papua New Guinea;;EAP;3,69
POL;Poland;;ECA;2,98
PRI;Puerto Rico (U.S.);;Other;4,40
PRK;D. P. R. of Korea;;Other;3,92
PRT;Portugal;;Other;4,32
PRY;Paraguay;;LCR;4,28
PSE;West Bank and Gaza;;MENA;4,93
PYF;French Polynesia (Fr.);;Other;4,39
QAT;Qatar;;MENA;4,92
ROU;Romania;;ECA;3,52
RUS;Russian Federation;up to parallel 60°N;ECA;3,36
RWA;Rwanda;;AFR;4,10
SAU;Saudi Arabia;;MENA;5,16
SDN;Sudan;;AFR;4,94
SEN;Senegal;;AFR;4,58
SGP;Singapore;;Other;3,55
SLB;Solomon Islands;;EAP;3,69
SLE;Sierra Leone;;AFR;4,09
SLV;El Salvador;;LCR;4,83
SMR;San Marino;;Other;3,76
SOM;Somalia;;AFR;4,76
SRB;Serbia;;ECA;3,52
SSD;South Sudan;;AFR;4,46
